,invoice_ID,Branch,City,Yangon,Naypyitaw,Mandalay,customer_type,member_1,Gender,Gender_Male1,product_line,fashion_accessories,food_bev,electronic_accessories,sports_travel,home_lifestyle,health_beauty,unit_price,Quantity,tax_5%,Total,Date,Time,Payment,Ewallet,Cash,credit_card,cogs,gross_margin_%,gross_income,Unsatisfied
0,750-67-8428,A,Yangon,1,0,0,Member,1,Female,0,health_beauty,0,0,0,0,0,1,74.69,7,26.1415,548.9715,1/5/2019,13:08,Ewallet,1,0,0,522.83,4.761904762,26.1415,0.0
1,226-31-3081,C,Naypyitaw,0,1,0,Normal,0,Female,0,electronic_accessories,0,0,1,0,0,0,15.28,5,3.82,80.22,3/8/2019,10:29,Cash,0,1,0,76.4,4.761904762,3.82,0.0
2,631-41-3108,A,Yangon,1,0,0,Normal,0,Male,1,home_lifestyle,0,0,0,0,1,0,46.33,7,16.2155,340.5255,3/3/2019,13:23,credit_card,0,0,1,324.31,4.761904762,16.2155,0.0
3,123-19-1176,A,Yangon,1,0,0,Member,1,Male,1,health_beauty,0,0,0,0,0,1,58.22,8,23.288,489.048,1/27/2019,20:33,Ewallet,1,0,0,465.76,4.761904762,23.288,0.0
4,373-73-7910,A,Yangon,1,0,0,Normal,0,Male,1,sports_travel,0,0,0,1,0,0,86.31,7,30.2085,634.3785,2/8/2019,10:37,Ewallet,1,0,0,604.17,4.761904762,30.2085,1.0
5,699-14-3026,C,Naypyitaw,0,1,0,Normal,0,Male,1,electronic_accessories,0,0,1,0,0,0,85.39,7,29.8865,627.6165,3/25/2019,18:30,Ewallet,1,0,0,597.73,4.761904762,29.8865,1.0
6,355-53-5943,A,Yangon,1,0,0,Member,1,Female,0,electronic_accessories,0,0,1,0,0,0,68.84,6,20.652,433.692,2/25/2019,14:36,Ewallet,1,0,0,413.04,4.761904762,20.652,1.0
7,315-22-5665,C,Naypyitaw,0,1,0,Normal,0,Female,0,home_lifestyle,0,0,0,0,1,0,73.56,10,36.78,772.38,2/24/2019,11:38,Ewallet,1,0,0,735.6,4.761904762,36.78,0.0
8,665-32-9167,A,Yangon,1,0,0,Member,1,Female,0,health_beauty,0,0,0,0,0,1,36.26,2,3.626,76.146,1/10/2019,17:15,credit_card,0,0,1,72.52,4.761904762,3.626,0.0
9,692-92-5582,B,Mandalay,0,0,1,Member,1,Female,0,food_bev,0,1,0,0,0,0,54.84,3,8.226,172.746,2/20/2019,13:27,credit_card,0,0,1,164.52,4.761904762,8.226,1.0
